year,type,title,venue,role,topic,authors,Link,
2018,presentation,Expression activity full of positive dialogue,PE Galashow,Presenter,Pedagogy,Lee Y,,
2019,publication,Identity analysis of physical education teacher in growing stage,Korean Journal of Sport Pedagogy,Author,Teacher Education,Lee Y; Jung H,https://doi.org/10.21812/kjsp.2019.04.26.2.113,
2019,publication,2019 physical education curriculum growth-centered student assessment materials collection,Gyeonggido Office of Education,Author,Pedagogy,Lee Y,https://m.cafe.daum.net/gPEcShareSociety/fTGo/57?#attach,
2019,presentation,Process based evaluation in PE class,Gyeonggido Office of Education,Presenter,Assessment,Lee Y,,
2020,publication,Guide to essay evaluation in physical education,Gyeonggido Office of Education,Author,Assessment,Lee Y,https://yongjin-lee.tistory.com/42,
2020,publication,2020 Gyeonggi-do school sports invigoration support materials,Gyeonggido Office of Education,Author,Teacher Education,Lee T; Kim G; Seo K; Kim S; Lee Y,https://edup.goe.go.kr/common/download.do?fid=bbs&bbs_cd_n=251&bbs_seq_n=1936&file_seq_n=1,
2020,presentation,Tutting in physical education class,PE Online Galashow,Presenter,Pedagogy,Lee Y,,
2021,publication,The Amazing Power of School Physical Education,Dream&,Author,Assessment,Lee T; Jung J; Seo K; Kim S; Hwang Y; Park E; Lee J; Lee Y,,
2021,presentation,Movement oriented model for remote PE,AIESEP,Presenter,Pedagogy,Lee Y; Ryu J,,
2021,presentation,Teachers sense of coherence during COVID,AIESEP,Presenter,Teacher Education,Ryu J; Lee Y,,
2022,publication,"Curriculum, expecting an effective and beautiful balance",Sport Science,Author,Pedagogy,Lee Y,https://grandiose-zircon-6a8.notion.site/Curriculum-expecting-an-effective-and-beautiful-balance-28795c364b5e803aa50fd45ecb0f90f7?pvs=74,
2022,publication,Teacher community journey,Woori Physical Education,Author,Teacher Education,Lee Y,https://www.dbpia.co.kr/journal/publicationDetail?publicationId=PLCT00006707,
2022,presentation,15 year PE community case study,AIESEP,Presenter,Teacher Education,Lee Y; Min H; Kim Y; Lee W,,
2023,publication,Sports in US physical education,Woori Physical Education,Author,Teacher Education,Lee Y,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11438432,
2023,presentation,SEL acceptance by high school students,AERA,Presenter,Social Emotional Learning,Lee Y,,
2023,presentation,Students perspectives of SEL in PE,AIESEP,Coauthor,Social Emotional Learning,Dyson B; Howley D; Baek S; Lee Y,,
2024,publication,"Beginning, rise, fall, and comeback: Exploring the journey of a physical education teacher community in South Korea",European Physical Education Review,Author,Teacher Education,Lee Y; Lee W; Min H; Kim Y,https://doi.org/10.1177/1356336X241243205,
2024,publication,Social justice pedagogies in health and PE,Curriculum Studies in Health and Physical Education,Author,Pedagogy,Lee Y; Hemphill M,https://doi.org/10.1080/25742981.2024.2358055 ,
2024,publication,Students’ perspectives of social and emotional learning in a high school physical education program,Journal of Teaching in Physical Education,Coauthor,Social Emotional Learning,Dyson B; Baek S; Howley D; Lee Y; Fowler J,https://doi.org/10.1123/jtpe.2023-0090,
2024,presentation,SEL for quality PE instruction,AIESEP,Coauthor,Social Emotional Learning,Dyson B; Lee Y,,
2024,presentation,Quality teaching and SEL,AIESEP,Coauthor,Social Emotional Learning,Langer W; Dyson B; Lee Y,,
2024,presentation,Elementary teachers SEL perspectives,AERA,Presenter,Social Emotional Learning,Dyson B; Baek S; Lee Y,,
2024,presentation,Sport based youth development program,AERA,Coauthor,Pedagogy,Shen Y; Dyson B; Lee Y,,
2024,presentation,SEL with underserved children,SHAPE America,Coauthor,Social Emotional Learning,Baek S; Dyson B; Lee Y,,
2024,presentation,Sport integration in PE,SHAPE America,Coauthor,Pedagogy,Lim H; Lee Y,,
2025,publication,Bridging affective-reflective theory and social ecological model for effective social and emotional learning in physical education,Strategies,Author,Social Emotional Learning,Lee Y; Sneed P,http://doi.org/10.1080/08924562.2025.2551940,
2025,publication,Self compassion in PE,JOPERD,Author,Social Emotional Learning,Lee Y; Chu TL; Dyson B,,
2025,publication,Evolving professionalism in the AI era: Implementing generative AI in physical education,JOPERD,Author,AI in Education,Lee Y; Kim D,https://doi.org/10.1080/07303084.2024.2444586,
2025,publication,"AI enhances, not outdates, self-study research: A practical guide to integrating AI into research methodology",Journal of Teaching in Physical Education,Author,AI in Education,Lee Y; Dyson B,https://doi.org/10.1123/jtpe.2024-0417 ,
2025,presentation,Self study and AI analysis,AIESEP,Presenter,AI in Education,Lee Y; Dyson B,,
2025,presentation,Nurturing inner strength: Teaching self-compassion in physical education,SHAPE America,Coauthor,Social Emotional Learning,Chu TL; Lee Y; Dyson B,http://doi.org/10.1080/07303084.2025.2533145 ,
2025,presentation,SEL meanings for high school students,SHAPE America,Presenter,Social Emotional Learning,Dyson B; Lee Y,,
